store_name,category1,hashtag
고씨네고추장찌개,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
고씨네고추장찌개 방아실 한남점,한식,"특별한 메뉴가 있어요, 음식이 맛있어요, 친절해요, 단체모임 하기 좋아요, 매장이 넓어요, 양이 많아요, 야외공간이 멋져요, 인테리어가 멋져요"
고씨네고추장찌개 신논현점,한식,"아늑해요, 특별한 메뉴가 있어요, 음식이 빨리 나와요, 가성비가 좋아요, 술이 다양해요, 매장이 청결해요, 음식이 맛있어요, 화장실이 깨끗해요, 혼술하기 좋아요, 친절해요, 오래 머무르기 좋아요, 음악이 좋아요, 단체모임 하기 좋아요, 양이 많아요, 인테리어가 멋져요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 가로수길직영점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 술이 다양해요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 다산역점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 야외공간이 멋져요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 현지 맛에 가까워요, 음악이 좋아요, 술이 다양해요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 집중하기 좋아요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 발산점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 성수본점,중식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 파티하기 좋아요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 음료가 맛있어요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 속초청초호점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 양재역점,중식,"특별한 메뉴가 있어요, 가성비가 좋아요, 컨셉이 독특해요, 음식이 맛있어요, 매장이 청결해요, 혼술하기 좋아요, 친절해요, 단체모임 하기 좋아요, 대화하기 좋아요"
넛츠비어 의정부역점,중식,"술이 다양해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 음식이 맛있어요, 기본 안주가 좋아요, 인테리어가 멋져요"
